Date,Epidemiological Week,Conf_LC,Susp_LC,Deaths_LC,Conf_NLC,Susp_NLC,Deaths_NLC,Conf_CAI,Susp_CAI,Deaths_CAI,Conf_NA,Susp_NA,Deaths_NA,Conf_AA,Susp_AA,Deaths_AA,Conf_SC,Susp_SC,Deaths_SC
3-Jan-14,1,110,-,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Jan-14,2,285,-,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Jan-14,3,480,-,1,13,-,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Jan-14,4,775,-,1,15,-,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jan-14,5,1019,-,1,19,-,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Feb-14,6,1381,-,1,51,-,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Feb-14,7,1859,-,1,121,-,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Feb-14,8,2110,-,1,128,-,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Feb-14,9,2443,-,3,139,-,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Mar-14,10,2443,7835,3,194,269,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Mar-14,11,2533,10450,4,194,394,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Mar-14,12,2675,12650,5,194,394,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Mar-14,13,2894,14795,5,218,487,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Apr-14,14,3047,17409,6,247,558,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Apr-14,15,3194,20544,6,247,871,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Apr-14,16,3725,24917,6,266,1063,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Apr-14,17,3840,30155,6,276,1276,0,0,0,0,0,0,0,0,0,0,0,0,0
2-May-14,18,3853,38865,6,277,1276,0,0,0,0,0,0,0,0,0,0,0,0,0
9-May-14,19,3883,44137,7,292,1276,0,0,0,0,0,0,0,0,0,0,0,0,0
16-May-14,20,4542,49537,7,311,1602,0,0,0,0,0,0,0,0,0,0,0,0,0
23-May-14,21,3970,59937,13,386,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
30-May-14,22,4017,101091,14,389,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Jun-14,23,4049,128698,14,437,2243,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jun-14,24,4129,163072,14,447,2918,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Jun-14,25,4223,180972,21,453,2789,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jun-14,26,4220,254747,21,493,3676,0,8,1300,0,0,0,0,0,0,0,0,0,0
3-Jul-14,27,4248,296893,21,500,3676,0,8,1512,0,0,0,0,0,0,0,0,0,0
11-Jul-14,28,4518,345296,21,511,3676,0,8,1608,0,0,0,0,0,0,0,0,0,0
18-Jul-14,29,4926,431135,26,508,3676,0,9,1775,0,236,0,0,45,0,0,0,0,0
25-Jul-14,30,4987,463518,26,529,4133,0,24,1969,0,285,0,0,64,0,0,14,0,0
1-Aug-14,31,4195,501644,32,562,4133,0,24,2345,0,383,0,0,93,0,0,14,0,0
8-Aug-14,32,4366,564486,32,565,4141,0,24,2345,0,493,0,0,101,0,0,14,0,0
15-Aug-14,33,4671,572810,37,569,4141,0,24,3575,0,593,0,0,159,0,0,14,0,0
22-Aug-14,34,4977,573984,37,631,4414,0,24,5106,0,649,0,0,159,0,0,15,0,0
29-Aug-14,35,7308,637925,37,634,4511,0,31,8032,0,705,0,0,202,0,0,19,0,0
5-Sep-14,36,7512,638687,37,643,4635,0,34,8032,0,769,0,0,202,0,0,22,0,0
